????,????,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,???,????
10B,0200,10B,0000,000,0000,000,0000,0000,004,0100
10B,0200,10C,0200,10B,0200,000,010B,0000,004,0100
10C,0280,10D,0280,10C,0280,000,010C,FFFF,008,1000
10D,2122,10E,2122,122,2140,000,010D,2140,000,0000
10E,3109,10F,3109,109,0280,000,DC3F,23C0,000,0000
10F,E120,110,E120,120,23C0,000,010F,23C0,000,0000,120,23C0
110,A121,111,A121,121,E120,000,0110,E120,008,1000
111,6120,112,6120,120,23C0,000,0111,BD60,009,1001
112,E120,113,E120,120,BD60,000,0112,BD60,009,1001,120,BD60
113,0200,114,0200,113,0200,000,0113,0000,005,0101
114,0280,115,0280,114,0280,000,0114,FFFF,009,1001
115,2124,116,2124,124,A120,000,0115,A120,009,1001
116,3120,117,3120,120,BD60,000,429F,BD60,009,1001
117,E120,118,E120,120,BD60,000,0117,BD60,009,1001,120,BD60
118,A123,119,A123,123,0200,000,0118,0200,001,0001
119,6120,11A,6120,120,BD60,000,0119,44A0,000,0000
11A,E120,11B,E120,120,44A0,000,011A,44A0,000,0000,120,44A0
11B,0200,11C,0200,11B,0200,000,011B,0000,004,0100
11C,3108,11D,3108,108,6120,000,9EDF,6120,000,0000
11D,2120,11E,2120,120,44A0,000,011D,4020,000,0000
11E,E10A,11F,E10A,10A,4020,000,011E,4020,000,0000,10A,4020
11F,0100,120,0100,11F,0100,000,011F,4020,000,0000
